entity_id,state,last_changed,local_ts,hour,night_date
sensor.lounge_airq_co2,511,2024-09-24 19:00:00+00:00,2024-09-24 22:00:00+03:00,22,2024-09-24
sensor.lounge_airq_co2,527,2024-09-24 20:00:00+00:00,2024-09-24 23:00:00+03:00,23,2024-09-24
sensor.lounge_airq_co2,551,2024-09-24 21:00:00+00:00,2024-09-25 00:00:00+03:00,0,2024-09-24
sensor.lounge_airq_co2,559,2024-09-24 22:00:00+00:00,2024-09-25 01:00:00+03:00,1,2024-09-24
sensor.lounge_airq_co2,563,2024-09-24 23:00:00+00:00,2024-09-25 02:00:00+03:00,2,2024-09-24
sensor.lounge_airq_co2,563,2024-09-25 00:00:00+00:00,2024-09-25 03:00:00+03:00,3,2024-09-24
sensor.lounge_airq_co2,549,2024-09-25 01:00:00+00:00,2024-09-25 04:00:00+03:00,4,2024-09-24
sensor.lounge_airq_co2,519,2024-09-25 02:00:00+00:00,2024-09-25 05:00:00+03:00,5,2024-09-24
sensor.lounge_airq_co2,498,2024-09-25 03:00:00+00:00,2024-09-25 06:00:00+03:00,6,2024-09-24
sensor.lounge_airq_co2,578,2024-09-25 19:00:00+00:00,2024-09-25 22:00:00+03:00,22,2024-09-25
sensor.lounge_airq_co2,507,2024-09-25 20:00:00+00:00,2024-09-25 23:00:00+03:00,23,2024-09-25
sensor.lounge_airq_co2,541,2024-09-25 21:00:00+00:00,2024-09-26 00:00:00+03:00,0,2024-09-25
sensor.lounge_airq_co2,650,2024-09-25 22:00:00+00:00,2024-09-26 01:00:00+03:00,1,2024-09-25
sensor.lounge_airq_co2,684,2024-09-25 23:00:00+00:00,2024-09-26 02:00:00+03:00,2,2024-09-25
sensor.lounge_airq_co2,699,2024-09-26 00:00:00+00:00,2024-09-26 03:00:00+03:00,3,2024-09-25
sensor.lounge_airq_co2,688,2024-09-26 01:00:00+00:00,2024-09-26 04:00:00+03:00,4,2024-09-25
sensor.lounge_airq_co2,694,2024-09-26 02:00:00+00:00,2024-09-26 05:00:00+03:00,5,2024-09-25
sensor.lounge_airq_co2,698,2024-09-26 03:00:00+00:00,2024-09-26 06:00:00+03:00,6,2024-09-25
sensor.lounge_airq_co2,572,2024-09-26 19:00:00+00:00,2024-09-26 22:00:00+03:00,22,2024-09-26
sensor.lounge_airq_co2,728,2024-09-26 20:00:00+00:00,2024-09-26 23:00:00+03:00,23,2024-09-26
sensor.lounge_airq_co2,760,2024-09-26 21:00:00+00:00,2024-09-27 00:00:00+03:00,0,2024-09-26
sensor.lounge_airq_co2,768,2024-09-26 22:00:00+00:00,2024-09-27 01:00:00+03:00,1,2024-09-26
sensor.lounge_airq_co2,760,2024-09-26 23:00:00+00:00,2024-09-27 02:00:00+03:00,2,2024-09-26
sensor.lounge_airq_co2,735,2024-09-27 00:00:00+00:00,2024-09-27 03:00:00+03:00,3,2024-09-26
sensor.lounge_airq_co2,713,2024-09-27 01:00:00+00:00,2024-09-27 04:00:00+03:00,4,2024-09-26
sensor.lounge_airq_co2,703,2024-09-27 02:00:00+00:00,2024-09-27 05:00:00+03:00,5,2024-09-26
sensor.lounge_airq_co2,690,2024-09-27 03:00:00+00:00,2024-09-27 06:00:00+03:00,6,2024-09-26
sensor.lounge_airq_co2,537,2024-09-27 19:00:00+00:00,2024-09-27 22:00:00+03:00,22,2024-09-27
sensor.lounge_airq_co2,665,2024-09-27 20:00:00+00:00,2024-09-27 23:00:00+03:00,23,2024-09-27
