entity_id,state,last_changed,local_ts,hour,night_date
sensor.lounge_airq_pm_10,2,2025-05-14 01:30:15.190000+00:00,2025-05-14 04:30:15.190000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:31:15.193000+00:00,2025-05-14 04:31:15.193000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 01:32:15.193000+00:00,2025-05-14 04:32:15.193000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:33:15.192000+00:00,2025-05-14 04:33:15.192000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:34:15.190000+00:00,2025-05-14 04:34:15.190000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:35:15.191000+00:00,2025-05-14 04:35:15.191000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:36:15.189000+00:00,2025-05-14 04:36:15.189000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:37:15.189000+00:00,2025-05-14 04:37:15.189000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:40:15.188000+00:00,2025-05-14 04:40:15.188000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:41:15.186000+00:00,2025-05-14 04:41:15.186000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 01:42:15.186000+00:00,2025-05-14 04:42:15.186000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:43:15.186000+00:00,2025-05-14 04:43:15.186000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:44:15.183000+00:00,2025-05-14 04:44:15.183000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:45:15.186000+00:00,2025-05-14 04:45:15.186000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:46:15.184000+00:00,2025-05-14 04:46:15.184000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:47:15.183000+00:00,2025-05-14 04:47:15.183000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:48:15.184000+00:00,2025-05-14 04:48:15.184000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 01:49:15.183000+00:00,2025-05-14 04:49:15.183000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:50:15.182000+00:00,2025-05-14 04:50:15.182000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:51:15.182000+00:00,2025-05-14 04:51:15.182000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 01:52:15.180000+00:00,2025-05-14 04:52:15.180000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:53:15.184000+00:00,2025-05-14 04:53:15.184000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:54:15.183000+00:00,2025-05-14 04:54:15.183000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:55:15.181000+00:00,2025-05-14 04:55:15.181000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:57:15.176000+00:00,2025-05-14 04:57:15.176000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 01:58:15.175000+00:00,2025-05-14 04:58:15.175000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 01:59:15.177000+00:00,2025-05-14 04:59:15.177000+03:00,4,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:00:15.181000+00:00,2025-05-14 05:00:15.181000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:01:15.199000+00:00,2025-05-14 05:01:15.199000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:02:15.175000+00:00,2025-05-14 05:02:15.175000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:03:15.177000+00:00,2025-05-14 05:03:15.177000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:04:15.176000+00:00,2025-05-14 05:04:15.176000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:05:15.172000+00:00,2025-05-14 05:05:15.172000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:06:15.175000+00:00,2025-05-14 05:06:15.175000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:07:15.177000+00:00,2025-05-14 05:07:15.177000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:09:15.172000+00:00,2025-05-14 05:09:15.172000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:10:15.172000+00:00,2025-05-14 05:10:15.172000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:11:15.171000+00:00,2025-05-14 05:11:15.171000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:12:15.172000+00:00,2025-05-14 05:12:15.172000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:13:15.172000+00:00,2025-05-14 05:13:15.172000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,3,2025-05-14 02:14:15.170000+00:00,2025-05-14 05:14:15.170000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:15:15.169000+00:00,2025-05-14 05:15:15.169000+03:00,5,2025-05-13
sensor.lounge_airq_pm_10,2,2025-05-14 02:16:15.167000+00:00,2025-05-14 05:16:15.167000+03:00,5,2025-05-13
